"#tblds_05_GrainSizeDist_1990s.csv: Masses of sediments within certain size classes from core samples collected with a fixed-piston, wireline core barrel at the National Crude Oil Spill Fate and Natural Attenuation Research Site near Bemidji, Minnesota, USA between 1990 and 1998. Sediments were separated into size fractions using sieve methods and hydrometer methods.",,,,,,,,,,,,,,,,
"#Data code definitions: refer to the metadata file, HistoricalData_metadata.xml, provided with this data release (https://doi.org/10.5066/P9FJ8I0P) and the data dictionary tables available at https://doi.org/10.5066/F7736PDR.  NOTE: An ""x"" was prepended to the values in the LocalSiteName, parm_cd, and meth_cd fields to prevent automatic truncation of leading 0's in the field by software programs used to open .csv files. Users can format this field as text and then use a ""Find and Replace"" tool to remove the x's if so desired.",,,,,,,,,,,,,,,,
dataset_id,LocalSiteName,OrigSiteName,sample_dt,Comments_sample_dt,medium_cd,TOS_mBLS,BOS_mBLS,min_diam_mm,max_diam_mm,parm_cd,parm_shortname,remark_cd,result_va,meth_cd,pub,comments
ds_05,x9805,9805.01,7/29/1998,NA,SC,5.49,5.56,1,,xLS010,diam_1mm_p,,1.08,xLSGS2,not previously published ,
ds_05,x9805,9805.02,7/29/1998,NA,SC,5.56,5.64,1,,xLS010,diam_1mm_p,,0.23,xLSGS2,not previously published ,
ds_05,x9805,9805.03,7/29/1998,NA,SC,5.64,5.71,1,,xLS010,diam_1mm_p,,0.07,xLSGS2,not previously published ,
ds_05,x9805,9805.04,7/29/1998,NA,SC,5.72,5.79,1,,xLS010,diam_1mm_p,,0.73,xLSGS2,not previously published ,
ds_05,x9805,9805.05,7/29/1998,NA,SC,5.8,5.87,1,,xLS010,diam_1mm_p,,2.63,xLSGS2,not previously published ,
ds_05,x9805,9805.06,7/29/1998,NA,SC,5.87,5.95,1,,xLS010,diam_1mm_p,,3.78,xLSGS2,not previously published ,
ds_05,x9805,9805.07,7/29/1998,NA,SC,5.95,6.03,1,,xLS010,diam_1mm_p,,0.97,xLSGS2,not previously published ,
ds_05,x9805,9805.08,7/29/1998,NA,SC,6.03,6.1,1,,xLS010,diam_1mm_p,,0.54,xLSGS2,not previously published ,
ds_05,x9805,9805.09,7/29/1998,NA,SC,6.11,6.18,1,,xLS010,diam_1mm_p,,0.12,xLSGS2,not previously published ,
ds_05,x9805,9805.1,7/29/1998,NA,SC,6.19,6.26,1,,xLS010,diam_1mm_p,,2.7,xLSGS2,not previously published ,
ds_05,x9805,9805.11,7/29/1998,NA,SC,6.26,6.34,1,,xLS010,diam_1mm_p,,0.72,xLSGS2,not previously published ,
ds_05,x9805,9805.12,7/29/1998,NA,SC,6.34,6.41,1,,xLS010,diam_1mm_p,,0.55,xLSGS2,not previously published ,
ds_05,x9805,9805.13,7/29/1998,NA,SC,6.42,6.49,1,,xLS010,diam_1mm_p,,8.81,xLSGS2,not previously published ,
ds_05,x9805,9805.14,7/29/1998,NA,SC,6.5,6.57,1,,xLS010,diam_1mm_p,,9.94,xLSGS2,not previously published ,
ds_05,x9805,9805.15,7/29/1998,NA,SC,6.57,6.65,1,,xLS010,diam_1mm_p,,3.96,xLSGS2,not previously published ,
ds_05,x9805,9805.16,7/29/1998,NA,SC,6.65,6.72,1,,xLS010,diam_1mm_p,,5.46,xLSGS2,not previously published ,
ds_05,x9805,9805.17,7/29/1998,NA,SC,6.73,6.8,1,,xLS010,diam_1mm_p,,0.72,xLSGS2,not previously published ,
ds_05,x9805,9805.18,7/29/1998,NA,SC,6.81,6.88,1,,xLS010,diam_1mm_p,,6.67,xLSGS2,not previously published ,
ds_05,x9805,9805.19,7/29/1998,NA,SC,6.88,6.96,1,,xLS010,diam_1mm_p,,5.14,xLSGS2,not previously published ,
ds_05,x9805,9805.2,7/29/1998,NA,SC,6.96,7.03,1,,xLS010,diam_1mm_p,,1.64,xLSGS2,not previously published ,
ds_05,x9805,9805.21,7/29/1998,NA,SC,7.04,7.11,1,,xLS010,diam_1mm_p,,1.08,xLSGS2,not previously published ,
ds_05,x9805,9805.22,7/29/1998,NA,SC,7.11,7.19,1,,xLS010,diam_1mm_p,,0.15,xLSGS2,not previously published ,
ds_05,x9805,9805.23,7/29/1998,NA,SC,7.19,7.26,1,,xLS010,diam_1mm_p,,0,xLSGS2,not previously published ,
ds_05,x9805,9805.24,7/29/1998,NA,SC,7.27,7.34,1,,xLS010,diam_1mm_p,,0,xLSGS2,not previously published ,
ds_05,x9806,9806.01,7/29/1998,NA,SC,7.01,7.08,1,,xLS010,diam_1mm_p,,0.88,xLSGS2,not previously published ,
ds_05,x9806,9806.02,7/29/1998,NA,SC,7.09,7.16,1,,xLS010,diam_1mm_p,,0,xLSGS2,not previously published ,
ds_05,x9806,9806.03,7/29/1998,NA,SC,7.17,7.24,1,,xLS010,diam_1mm_p,,0.04,xLSGS2,not previously published ,
ds_05,x9806,9806.04,7/29/1998,NA,SC,7.24,7.31,1,,xLS010,diam_1mm_p,,2.83,xLSGS2,not previously published ,
ds_05,x9806,9806.05,7/29/1998,NA,SC,7.32,7.39,1,,xLS010,diam_1mm_p,,0.35,xLSGS2,not previously published ,
ds_05,x9806,9806.06,7/29/1998,NA,SC,7.39,7.46,1,,xLS010,diam_1mm_p,,0,xLSGS2,not previously published ,
ds_05,x9806,9806.07,7/29/1998,NA,SC,7.47,7.54,1,,xLS010,diam_1mm_p,,0,xLSGS2,not previously published ,
ds_05,x9806,9806.08,7/29/1998,NA,SC,7.54,7.62,1,,xLS010,diam_1mm_p,,0.03,xLSGS2,not previously published ,
ds_05,x9806,9806.09,7/29/1998,NA,SC,7.62,7.69,1,,xLS010,diam_1mm_p,,0.07,xLSGS2,not previously published ,
ds_05,x9806,9806.1,7/29/1998,NA,SC,7.7,7.77,1,,xLS010,diam_1mm_p,,0.49,xLSGS2,not previously published ,
ds_05,x9806,9806.11,7/29/1998,NA,SC,7.77,7.85,1,,xLS010,diam_1mm_p,,0.42,xLSGS2,not previously published ,
ds_05,x9806,9806.12,7/29/1998,NA,SC,7.85,7.92,1,,xLS010,diam_1mm_p,,0.52,xLSGS2,not previously published ,
ds_05,x9806,9806.13,7/29/1998,NA,SC,7.93,8,1,,xLS010,diam_1mm_p,,1.5,xLSGS2,not previously published ,
ds_05,x9806,9806.14,7/29/1998,NA,SC,8,8.08,1,,xLS010,diam_1mm_p,,3.08,xLSGS2,not previously published ,
ds_05,x9806,9806.15,7/29/1998,NA,SC,8.08,8.16,1,,xLS010,diam_1mm_p,,0.54,xLSGS2,not previously published ,
ds_05,x9806,9806.16,7/29/1998,NA,SC,8.16,8.23,1,,xLS010,diam_1mm_p,,0.64,xLSGS2,not previously published ,
ds_05,x9806,9806.17,7/29/1998,NA,SC,8.24,8.31,1,,xLS010,diam_1mm_p,,10.47,xLSGS2,not previously published ,
ds_05,x9806,9806.18,7/29/1998,NA,SC,8.32,8.39,1,,xLS010,diam_1mm_p,,8.41,xLSGS2,not previously published ,
ds_05,x9806,9806.19,7/29/1998,NA,SC,8.39,8.47,1,,xLS010,diam_1mm_p,,6.71,xLSGS2,not previously published ,
ds_05,x9806,9806.2,7/29/1998,NA,SC,8.47,8.55,1,,xLS010,diam_1mm_p,,20.03,xLSGS2,not previously published ,
ds_05,x9806,9806.21,7/29/1998,NA,SC,8.55,8.62,1,,xLS010,diam_1mm_p,,6.04,xLSGS2,not previously published ,
ds_05,x9806,9806.22,7/29/1998,NA,SC,8.63,8.68,1,,xLS010,diam_1mm_p,,2.75,xLSGS2,not previously published ,
ds_05,x9807,9807.01,7/29/1998,NA,SC,7.62,7.69,1,,xLS010,diam_1mm_p,,2.53,xLSGS2,not previously published ,
ds_05,x9807,9807.02,7/29/1998,NA,SC,7.7,7.77,1,,xLS010,diam_1mm_p,,3.1,xLSGS2,not previously published ,
ds_05,x9807,9807.03,7/29/1998,NA,SC,7.77,7.85,1,,xLS010,diam_1mm_p,,8.21,xLSGS2,not previously published ,
ds_05,x9807,9807.04,7/29/1998,NA,SC,7.85,7.92,1,,xLS010,diam_1mm_p,,13.3,xLSGS2,not previously published ,
ds_05,x9807,9807.05,7/29/1998,NA,SC,7.93,8,1,,xLS010,diam_1mm_p,,0.01,xLSGS2,not previously published ,
ds_05,x9807,9807.06,7/29/1998,NA,SC,8,8.07,1,,xLS010,diam_1mm_p,,0.29,xLSGS2,not previously published ,
ds_05,x9807,9807.07,7/29/1998,NA,SC,8.08,8.15,1,,xLS010,diam_1mm_p,,0.32,xLSGS2,not previously published ,
ds_05,x9807,9807.08,7/29/1998,NA,SC,8.15,8.23,1,,xLS010,diam_1mm_p,,1.24,xLSGS2,not previously published ,
ds_05,x9807,9807.09,7/29/1998,NA,SC,8.23,8.3,1,,xLS010,diam_1mm_p,,1.01,xLSGS2,not previously published ,
ds_05,x9807,9807.1,7/29/1998,NA,SC,8.31,8.38,1,,xLS010,diam_1mm_p,,0.44,xLSGS2,not previously published ,
ds_05,x9807,9807.11,7/29/1998,NA,SC,8.39,8.46,1,,xLS010,diam_1mm_p,,0.26,xLSGS2,not previously published ,
ds_05,x9807,9807.12,7/29/1998,NA,SC,8.46,8.54,1,,xLS010,diam_1mm_p,,0.44,xLSGS2,not previously published ,
ds_05,x9807,9807.13,7/29/1998,NA,SC,8.54,8.61,1,,xLS010,diam_1mm_p,,8.07,xLSGS2,not previously published ,
ds_05,x9807,9807.14,7/29/1998,NA,SC,8.62,8.69,1,,xLS010,diam_1mm_p,,4.73,xLSGS2,not previously published ,
ds_05,x9807,9807.15,7/29/1998,NA,SC,8.7,8.77,1,,xLS010,diam_1mm_p,,4.11,xLSGS2,not previously published ,
ds_05,x9807,9807.16,7/29/1998,NA,SC,8.77,8.85,1,,xLS010,diam_1mm_p,,16.53,xLSGS2,not previously published ,
ds_05,x9807,9807.17,7/29/1998,NA,SC,8.85,8.92,1,,xLS010,diam_1mm_p,,3.16,xLSGS2,not previously published ,
ds_05,x9807,9807.18,7/29/1998,NA,SC,8.93,9,1,,xLS010,diam_1mm_p,,0.96,xLSGS2,not previously published ,
ds_05,x9807,9807.19,7/29/1998,NA,SC,9.01,9.08,1,,xLS010,diam_1mm_p,,2.09,xLSGS2,not previously published ,
ds_05,x9807,9807.2,7/29/1998,NA,SC,9.08,9.16,1,,xLS010,diam_1mm_p,,1.6,xLSGS2,not previously published ,
ds_05,x9808,9808.01,7/29/1998,NA,SC,7.01,7.08,1,,xLS010,diam_1mm_p,,1.63,xLSGS2,not previously published ,
ds_05,x9808,9808.02,7/29/1998,NA,SC,7.09,7.16,1,,xLS010,diam_1mm_p,,0.23,xLSGS2,not previously published ,
ds_05,x9808,9808.03,7/29/1998,NA,SC,7.16,7.24,1,,xLS010,diam_1mm_p,,0,xLSGS2,not previously published ,
ds_05,x9808,9808.04,7/29/1998,NA,SC,7.24,7.31,1,,xLS010,diam_1mm_p,,0.13,xLSGS2,not previously published ,
ds_05,x9808,9808.05,7/29/1998,NA,SC,7.32,7.39,1,,xLS010,diam_1mm_p,,0.14,xLSGS2,not previously published ,
ds_05,x9808,9808.06,7/29/1998,NA,SC,7.4,7.47,1,,xLS010,diam_1mm_p,,0.14,xLSGS2,not previously published ,
ds_05,x9808,9808.07,7/29/1998,NA,SC,7.47,7.55,1,,xLS010,diam_1mm_p,,0.26,xLSGS2,not previously published ,
ds_05,x9808,9808.08,7/29/1998,NA,SC,7.55,7.62,1,,xLS010,diam_1mm_p,,0.28,xLSGS2,not previously published ,
ds_05,x9808,9808.09,7/29/1998,NA,SC,7.63,7.7,1,,xLS010,diam_1mm_p,,0.31,xLSGS2,not previously published ,
