Year,Sample_ID,Collection_Date,Latitude,Longitude,Sample_Type,Collection_Depth,Collection_Mthd,Constituent,Definition,Reported_Value,Reported_QA,Unit,Instrument
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,NH3-N,Total ammonia nitrogen concentration of the sample,0.245,,mg N/L,Automated colorimetry
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,NO3,Nitrate concentration of the sample,0.100,LT,mg/L,IC
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,NVDOC,Nonvolatile dissolved organic carbon concentration of the sample,11.6,,mg/L,TOC Analyzer
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,Na,Sodium concentration of the sample,1.31,,mg/L,ICP-OES
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,PO4,Phosphate concentration of the sample,0.200,LT,mg/L,IC
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,SO4,Sulfate concentration of the sample,0.309,,mg/L,IC
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,Si,Silicon concentration of the sample,2.46,,mg/L,ICP-OES
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,Sr,Strontium concentration of the sample,50,LT,ug/L,ICP-OES
2017,BEM-2017-01-020,2017-06-22,47.5745,-95.0859,Pore Water,20,Henry,Zn,Zinc concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,Al,Aluminum concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,Alkalinity,Alkalinity concentration of the sample measured in milligrams per liter as bicarbonate,198,,mg/L,Titrator
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,B,Boron concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,Ba,Barium concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,Br,Bromide concentration of the sample,0.100,LT,mg/L,IC
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,Ca,Calcium concentration of the sample,33.9,,mg/L,ICP-OES
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,Cl,Chloride concentration of the sample,1.12,,mg/L,IC
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,Cu,Copper concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,Fe,Iron concentration of the sample,2155,,ug/L,ICP-OES
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,K,Potassium concentration of the sample,1.46,,mg/L,ICP-OES
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,Li,Lithium concentration of the sample,50,LT,ug/L,ICP-OES
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,Mg,Magnesium concentration of the sample,8.09,,mg/L,ICP-OES
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,Mn,Manganese concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,NH3-N,Total ammonia nitrogen concentration of the sample,2.64,,mg N/L,Automated colorimetry
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,NO3,Nitrate concentration of the sample,0.116,,mg/L,IC
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,NVDOC,Nonvolatile dissolved organic carbon concentration of the sample,10.6,,mg/L,TOC Analyzer
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,Na,Sodium concentration of the sample,2.19,,mg/L,ICP-OES
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,PO4,Phosphate concentration of the sample,0.200,LT,mg/L,IC
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,SO4,Sulfate concentration of the sample,0.718,,mg/L,IC
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,Si,Silicon concentration of the sample,3.14,,mg/L,ICP-OES
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,Sr,Strontium concentration of the sample,50,LT,ug/L,ICP-OES
2017,BEM-2017-01-050,2017-06-22,47.5745,-95.0859,Pore Water,50,Henry,Zn,Zinc concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,Al,Aluminum concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,Alkalinity,Alkalinity concentration of the sample measured in milligrams per liter as bicarbonate,219,,mg/L,Titrator
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,B,Boron concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,Ba,Barium concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,Br,Bromide concentration of the sample,0.100,LT,mg/L,IC
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,Ca,Calcium concentration of the sample,53.3,,mg/L,ICP-OES
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,Cl,Chloride concentration of the sample,0.849,,mg/L,IC
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,Cu,Copper concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,Fe,Iron concentration of the sample,4604,,ug/L,ICP-OES
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,K,Potassium concentration of the sample,0.855,,mg/L,ICP-OES
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,Li,Lithium concentration of the sample,50,LT,ug/L,ICP-OES
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,Mg,Magnesium concentration of the sample,9.89,,mg/L,ICP-OES
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,Mn,Manganese concentration of the sample,100,LT,ug/L,ICP-OES
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,NH3-N,Total ammonia nitrogen concentration of the sample,1.39,,mg N/L,Automated colorimetry
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,NO3,Nitrate concentration of the sample,0.100,LT,mg/L,IC
2017,BEM-2017-01-100,2017-06-22,47.5745,-95.0859,Pore Water,100,Henry,NVDOC,Nonvolatile dissolved organic carbon concentration of the sample,9.20,,mg/L,TOC Analyzer
