parm_cd,parm_cd_ref,parm_shortname,parm_cd_descript,units,CASRN,version_when_added
xLS097,Local,diam_0.00129_0.0024mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00129 millimeters and a maximum diameter of 0.0024 millimeters, grams",g,,version 1.0
xLS098,Local,diam_0.00129_0.00258mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00129 millimeters and a maximum diameter of 0.00258 millimeters, grams",g,,version 1.0
xLS099,Local,diam_0.0013_0.0015mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0013 millimeters and a maximum diameter of 0.0015 millimeters, grams",g,,version 1.0
xLS100,Local,diam_0.00132_0.00224mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00132 millimeters and a maximum diameter of 0.00224 millimeters, grams",g,,version 1.0
xLS101,Local,diam_0.00134_0.00234mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00134 millimeters and a maximum diameter of 0.00234 millimeters, grams",g,,version 1.0
xLS102,Local,diam_0.00136_0.00317mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00136 millimeters and a maximum diameter of 0.00317 millimeters, grams",g,,version 1.0
xLS103,Local,diam_0.00138_0.00148mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00138 millimeters and a maximum diameter of 0.00148 millimeters, grams",g,,version 1.0
xLS104,Local,diam_0.00138_0.0017mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00138 millimeters and a maximum diameter of 0.0017 millimeters, grams",g,,version 1.0
xLS105,Local,diam_0.00138_0.00195mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00138 millimeters and a maximum diameter of 0.00195 millimeters, grams",g,,version 1.0
xLS106,Local,diam_0.00138_0.00224mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00138 millimeters and a maximum diameter of 0.00224 millimeters, grams",g,,version 1.0
xLS107,Local,diam_0.00138_0.0024mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00138 millimeters and a maximum diameter of 0.0024 millimeters, grams",g,,version 1.0
xLS108,Local,diam_0.00138_0.00258mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00138 millimeters and a maximum diameter of 0.00258 millimeters, grams",g,,version 1.0
xLS109,Local,diam_0.00138_0.00276mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00138 millimeters and a maximum diameter of 0.00276 millimeters, grams",g,,version 1.0
xLS110,Local,diam_0.00146_0.00345mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00146 millimeters and a maximum diameter of 0.00345 millimeters, grams",g,,version 1.0
xLS111,Local,diam_0.00148_0.00159mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00148 millimeters and a maximum diameter of 0.00159 millimeters, grams",g,,version 1.0
xLS112,Local,diam_0.00148_0.0017mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00148 millimeters and a maximum diameter of 0.0017 millimeters, grams",g,,version 1.0
xLS113,Local,diam_0.00148_0.00258mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00148 millimeters and a maximum diameter of 0.00258 millimeters, grams",g,,version 1.0
xLS114,Local,diam_0.00148_0.00276mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00148 millimeters and a maximum diameter of 0.00276 millimeters, grams",g,,version 1.0
xLS115,Local,diam_0.00148_0.00296mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00148 millimeters and a maximum diameter of 0.00296 millimeters, grams",g,,version 1.0
xLS116,Local,diam_0.00148_0.00317mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00148 millimeters and a maximum diameter of 0.00317 millimeters, grams",g,,version 1.0
xLS117,Local,diam_0.00149_0.00315mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00149 millimeters and a maximum diameter of 0.00315 millimeters, grams",g,,version 1.0
xLS118,Local,diam_0.0015_0.0032mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0015 millimeters and a maximum diameter of 0.0032 millimeters, grams",g,,version 1.0
xLS119,Local,diam_0.00159_0.0017mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00159 millimeters and a maximum diameter of 0.0017 millimeters, grams",g,,version 1.0
xLS120,Local,diam_0.00159_0.00296mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00159 millimeters and a maximum diameter of 0.00296 millimeters, grams",g,,version 1.0
xLS121,Local,diam_0.00159_0.0034mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00159 millimeters and a maximum diameter of 0.0034 millimeters, grams",g,,version 1.0
xLS122,Local,diam_0.0016_0.00335mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0016 millimeters and a maximum diameter of 0.00335 millimeters, grams",g,,version 1.0
xLS123,Local,diam_0.0017_0.00182mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0017 millimeters and a maximum diameter of 0.00182 millimeters, grams",g,,version 1.0
xLS124,Local,diam_0.0017_0.0024mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0017 millimeters and a maximum diameter of 0.0024 millimeters, grams",g,,version 1.0
xLS125,Local,diam_0.0017_0.00317mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0017 millimeters and a maximum diameter of 0.00317 millimeters, grams",g,,version 1.0
xLS126,Local,diam_0.0017_0.00331mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0017 millimeters and a maximum diameter of 0.00331 millimeters, grams",g,,version 1.0
xLS127,Local,diam_0.0017_0.00364mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0017 millimeters and a maximum diameter of 0.00364 millimeters, grams",g,,version 1.0
xLS128,Local,diam_0.0017_0.00391mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0017 millimeters and a maximum diameter of 0.00391 millimeters, grams",g,,version 1.0
xLS129,Local,diam_0.00182_0.00258mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00182 millimeters and a maximum diameter of 0.00258 millimeters, grams",g,,version 1.0
xLS130,Local,diam_0.00182_0.00276mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00182 millimeters and a maximum diameter of 0.00276 millimeters, grams",g,,version 1.0
xLS131,Local,diam_0.00182_0.00419mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00182 millimeters and a maximum diameter of 0.00419 millimeters, grams",g,,version 1.0
xLS132,Local,diam_0.00182_0.00481mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00182 millimeters and a maximum diameter of 0.00481 millimeters, grams",g,,version 1.0
xLS133,Local,diam_0.00195_0.00276mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00195 millimeters and a maximum diameter of 0.00276 millimeters, grams",g,,version 1.0
xLS134,Local,diam_0.00195_0.00296mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00195 millimeters and a maximum diameter of 0.00296 millimeters, grams",g,,version 1.0
xLS135,Local,diam_0.00195_0.00391mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00195 millimeters and a maximum diameter of 0.00391 millimeters, grams",g,,version 1.0
xLS136,Local,diam_0.002_0.003mm_g,"Soil classification, weight of sample having a minimum diameter of 0.002 millimeters and a maximum diameter of 0.003 millimeters, grams",g,,version 1.0
xLS137,Local,diam_0.00209_0.00276mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00209 millimeters and a maximum diameter of 0.00276 millimeters, grams",g,,version 1.0
xLS138,Local,diam_0.00209_0.00296mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00209 millimeters and a maximum diameter of 0.00296 millimeters, grams",g,,version 1.0
xLS139,Local,diam_0.00224_0.00296mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00224 millimeters and a maximum diameter of 0.00296 millimeters, grams",g,,version 1.0
xLS140,Local,diam_0.00224_0.00317mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00224 millimeters and a maximum diameter of 0.00317 millimeters, grams",g,,version 1.0
xLS141,Local,diam_0.00224_0.0034mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00224 millimeters and a maximum diameter of 0.0034 millimeters, grams",g,,version 1.0
xLS142,Local,diam_0.00224_0.00364mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00224 millimeters and a maximum diameter of 0.00364 millimeters, grams",g,,version 1.0
xLS143,Local,diam_0.00234_0.00328mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00234 millimeters and a maximum diameter of 0.00328 millimeters, grams",g,,version 1.0
xLS144,Local,diam_0.0024_0.00317mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0024 millimeters and a maximum diameter of 0.00317 millimeters, grams",g,,version 1.0
xLS145,Local,diam_0.0024_0.0034mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0024 millimeters and a maximum diameter of 0.0034 millimeters, grams",g,,version 1.0
xLS146,Local,diam_0.0024_0.00364mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0024 millimeters and a maximum diameter of 0.00364 millimeters, grams",g,,version 1.0
xLS147,Local,diam_0.0024_0.00391mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0024 millimeters and a maximum diameter of 0.00391 millimeters, grams",g,,version 1.0
xLS148,Local,diam_0.0024_0.00449mm_g,"Soil classification, weight of sample having a minimum diameter of 0.0024 millimeters and a maximum diameter of 0.00449 millimeters, grams",g,,version 1.0
xLS149,Local,diam_0.00242_0.00331mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00242 millimeters and a maximum diameter of 0.00331 millimeters, grams",g,,version 1.0
xLS150,Local,diam_0.00258_0.00317mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00258 millimeters and a maximum diameter of 0.00317 millimeters, grams",g,,version 1.0
xLS151,Local,diam_0.00258_0.0034mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00258 millimeters and a maximum diameter of 0.0034 millimeters, grams",g,,version 1.0
xLS152,Local,diam_0.00258_0.00364mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00258 millimeters and a maximum diameter of 0.00364 millimeters, grams",g,,version 1.0
xLS153,Local,diam_0.00258_0.00419mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00258 millimeters and a maximum diameter of 0.00419 millimeters, grams",g,,version 1.0
xLS154,Local,diam_0.00258_0.00449mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00258 millimeters and a maximum diameter of 0.00449 millimeters, grams",g,,version 1.0
xLS155,Local,diam_0.00258_0.00481mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00258 millimeters and a maximum diameter of 0.00481 millimeters, grams",g,,version 1.0
xLS156,Local,diam_0.00276_0.00317mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00276 millimeters and a maximum diameter of 0.00317 millimeters, grams",g,,version 1.0
xLS157,Local,diam_0.00276_0.00391mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00276 millimeters and a maximum diameter of 0.00391 millimeters, grams",g,,version 1.0
xLS158,Local,diam_0.00276_0.00419mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00276 millimeters and a maximum diameter of 0.00419 millimeters, grams",g,,version 1.0
xLS159,Local,diam_0.00276_0.00449mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00276 millimeters and a maximum diameter of 0.00449 millimeters, grams",g,,version 1.0
xLS160,Local,diam_0.00276_0.00515mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00276 millimeters and a maximum diameter of 0.00515 millimeters, grams",g,,version 1.0
xLS161,Local,diam_0.00296_0.00317mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00296 millimeters and a maximum diameter of 0.00317 millimeters, grams",g,,version 1.0
xLS162,Local,diam_0.00296_0.00391mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00296 millimeters and a maximum diameter of 0.00391 millimeters, grams",g,,version 1.0
xLS163,Local,diam_0.00296_0.00419mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00296 millimeters and a maximum diameter of 0.00419 millimeters, grams",g,,version 1.0
xLS164,Local,diam_0.00296_0.00449mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00296 millimeters and a maximum diameter of 0.00449 millimeters, grams",g,,version 1.0
xLS165,Local,diam_0.00296_0.00481mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00296 millimeters and a maximum diameter of 0.00481 millimeters, grams",g,,version 1.0
xLS166,Local,diam_0.00296_0.00515mm_g,"Soil classification, weight of sample having a minimum diameter of 0.00296 millimeters and a maximum diameter of 0.00515 millimeters, grams",g,,version 1.0
