meth_cd,meth_cd_ref,meth_cd_descript,meth_cd_pub,version_when_added
xTT055,NWIS,"Alkalinity, fixed endpoint titration, buret titrator","NWIS method  description retrieved at https://help.waterdata.usgs.gov/method_cd in October, 2018; more detailed references are listed at this site.  ",version 1.0
xWLPTR,NWIS,Groundwater level via pressure transducer,"NWIS method  description retrieved at https://help.waterdata.usgs.gov/method_cd in October, 2018; more detailed references are listed at this site.  ",version 1.0
xLGC03,LOCAL,Organic acids by high resolution gas chromatography-mass spectrometry,"Cozzarelli, I.M., Baedecker, M.J., Eganhouse, R.P., and Goerlitz, D.F. 1994. The geochemical evolution of low-molecular-weight organic acids derived from the degradation of petroleum contaminants in groundwater. Geochimica et Cosmochimica Acta 58, no. 2: 863–877; Cozzarelli, I.M., 1993, The biogeochemical fate of organic acids in a shallow aquifer contaminated with gasoline: Charlottesville, University of Virginia, Ph.D. dissertation, 240 p.; Cozzarelli, I.M., Eganhouse. R.P., and  Baedecker, M.J. 1990. Transformation of monoaromatic hydrocarbons to organic acids in anoxic groundwater environment. Environmental Geology and Water Sciences, 16(2), pp.135-141.",version 2.0
xAZIDE,NWIS,"Dissolved Oxygen, Alsterberg-Azide modification of the Winkler Titration","NWIS method  description retrieved at https://help.waterdata.usgs.gov/method_cd in August, 2019; more detailed references are listed at this site.  ",version 2.0
xLSGS4,LOCAL,Grain size distribution via sieve analysis-local method,"Hess, K.M., Herkelrath, W.N., and Essaid, H.I., 1992, Determination of subsurface fluid contents at a crude-oil spill site: Journal of Contaminant Hydrology, v. 10, pp. 75-96.",version 2.0
xGC121,NWIS,Gases in soil gas by gas chromatography with thermal conductivity detector (lab: CANUBCEO),NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xGC122,NWIS,Gases in soil gas by gas chromatography with thermal conductivity detector (USGSMNWC),NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xCAL36,NWIS,Calculated from equation and raw sensor data,NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xIR008,NWIS,LICOR Model LI-8100 infrared gas analyzer,NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xBARO2,NWIS,Apogee Instruments Sensor SB-100,NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xEL023,NWIS,Apogee Instruments Sensor SO-110,NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xIR007,NWIS,Vaisala Instruments Sensor model GMP221,NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
x00149,NWIS,Campbell Scientific Instruments Sensor CS650,NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xHTPRB,NWIS,Heat dissipation probe,NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xG0015,NWIS,No information exists for method,NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xSADVM,NWIS,Stream velocity measured using a sideways looking acoustic doppler velocity meter.,NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xUADVM,NWIS,Stream velocity measured using an upward looking acoustic doppler velocity meter.,NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xV-EST,NWIS,"Stream velocity, estimated",NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xVADCP,NWIS,"Stream velocity, acoustic doppler current profiler",NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xVADV,NWIS,"Stream velocity, acoustic doppler velocimeter",NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xVELC,NWIS,Stream velocity measured using an Electromagnetic Velocity Meter,NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xVICE,NWIS,Stream velocity measured with Ice Vane Meter,NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xVIPAA,NWIS,Stream Velocity measured with a Price AA meter with polymer cups,NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xVIPYG,NWIS,Stream Velocity measured with a Price Pygmy meter with polymer cups,NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xVOTT,NWIS,"Stream velocity, horizontal shaft (Ott) meter",NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xVPAA,NWIS,"Stream velocity, Price AA meter",NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xVPYG,NWIS,"Stream velocity, Price pygmy meter",NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xVRAD,NWIS,"Stream surface velocity, radar",NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xVTIME,NWIS,Stream velocity measured by any time of travel method,NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xVTRNS,NWIS,The method used to measure the velocity is not known.,NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
xVULT,NWIS,"Stream velocity, ultrasonic meter",NWIS method  description retrieved locally but will be available at https://help.waterdata.usgs.gov/method_cd in February 2020; more detailed references are listed at this site.  ,version 3.0
