LocalSiteName,StudySite,LocalUseCode,Comments_UseCode,USGS_siteno,USGS_StationName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,MeasuringPointElevation_mASL_NAVD88,well_MP_height_m,LandSurfaceElevation_mASL_NAVD88,TopOfScreenElevation_mASL_NAVD88,BottomOfScreenElevation_mASL_NAVD88,ScreenLength_m,MidOfScreenElevation_mASL_NAVD88,TotalWellDepth_mBLS,TotalBoring/DrillingDepth_mBLS,DiameterOfDrillHole_cm,WellCasingInnerDiameter_cm,OpeningTypeDescription,WidthOfOpeningsInOpenInterval_cm,CasingMaterialDescription,ScreenMaterialDescription,DateOfConstruction,Comments_DateOfConstruction,NameOfContractor,DrillerName,Comments_Miscellaneous,SiteActiveStatus,Comments_Status,ApproxRemovalDate
x9103G-03,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052440,9103G-03  Bemidji Toxics Research Site,342815.22,5271048.46,1.0,30.24,432.816,0.0,432.816,428.332,428.302,0.03,428.317,4.514,,,0.6,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,19911018.0,estimated date,,,North pool transect,Active,,
x9103G-04,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052441,9103G-04  Bemidji Toxics Research Site,342815.22,5271048.46,1.0,30.24,432.816,0.0,432.816,429.332,429.302,0.03,429.317,3.514,,,0.6,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,19911018.0,estimated date,,,North pool transect,Active,,
x9103G-05,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052442,9103G-05  Bemidji Toxics Research Site,342815.22,5271048.46,1.0,30.24,432.816,0.0,432.816,430.332,430.301,0.031,430.316,2.515,,,0.6,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,19911018.0,estimated date,,,North pool transect,Active,,
x9103G-06,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052443,9103G-06  Bemidji Toxics Research Site,342815.22,5271048.46,1.0,30.24,432.816,0.0,432.816,431.332,431.301,0.031,431.316,1.515,,,0.6,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,19911018.0,estimated date,,,North pool transect,Active,,
x9103G-07,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052444,9103G-07  Bemidji Toxics Research Site,342815.22,5271048.46,1.0,30.24,432.816,0.0,432.816,431.831,431.801,0.03,431.816,1.015,,,0.6,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,19911018.0,estimated date,,,North pool transect,Active,,
x9103G-08,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052445,9103G-08  Bemidji Toxics Research Site,342815.22,5271048.46,1.0,30.24,432.816,0.0,432.816,432.331,432.301,0.03,432.316,0.515,,,0.6,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,19911018.0,estimated date,,,North pool transect,Active,,
x534G-02,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052453,534G-02   Bemidji Toxics Research Site,342810.46,5271045.59,1.0,24.73,432.648,0.0,432.648,427.165,427.134,0.031,427.15,5.514,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x534G-03,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052454,534G-03   Bemidji Toxics Research Site,342810.46,5271045.59,1.0,24.73,432.648,0.0,432.648,428.164,428.134,0.03,428.149,4.514,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x534G-04,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052455,534G-04   Bemidji Toxics Research Site,342810.46,5271045.59,1.0,24.73,432.648,0.0,432.648,429.164,429.134,0.03,429.149,3.514,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x534G-05,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052456,534G-05   Bemidji Toxics Research Site,342810.46,5271045.59,1.0,24.73,432.648,0.0,432.648,430.164,430.133,0.031,430.148,2.515,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x534G-06,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052457,534G-06   Bemidji Toxics Research Site,342810.46,5271045.59,1.0,24.73,432.648,0.0,432.648,431.164,431.133,0.031,431.148,1.515,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x534G-07,Bemidji,wv,unsaturated zone vapor sampling well,x473426095052458,534G-07   Bemidji Toxics Research Site,342810.46,5271045.59,1.0,24.73,432.648,0.0,432.648,432.163,432.133,0.03,432.148,0.515,,10.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,,Installation date unknown,,,North pool transect,Active,,
x1212G-02,Bemidji,wv,unsaturated zone vapor sampling well,x473425095052624,1212G-02  Bemidji Toxics Research Site,342768.07,5271038.45,1.0,-16.92,430.21,0.0,430.21,425.495,425.464,0.031,425.48,4.746,5.944,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20120615.0,,,J. Greene; B. Mason,Located near well 9620,Active,,
x1212G-03,Bemidji,wv,unsaturated zone vapor sampling well,x473425095052625,1212G-03  Bemidji Toxics Research Site,342768.07,5271038.45,1.0,-16.92,430.21,0.0,430.21,425.833,425.803,0.03,425.818,4.407,5.944,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20120615.0,,,J. Greene; B. Mason,Located near well 9620,Active,,
x1212G-04,Bemidji,wv,unsaturated zone vapor sampling well,x473425095052626,1212G-04  Bemidji Toxics Research Site,342768.07,5271038.45,1.0,-16.92,430.21,0.0,430.21,426.165,426.135,0.03,426.15,4.075,5.944,21.0,0.3,"Perforated, porous, or slotted casing",,Stainless Steel,Stainless Steel,20120615.0,,,J. Greene; B. Mason,Located near well 9620,Active,,
