LocalSiteName,StudySite,LocalUseCode,Comments_UseCode,USGS_siteno,USGS_StationName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,LandSurfaceElevation_mASL_NAVD88,OtherEquip_MP_height_m,DateOfConstruction,Comments_DateOfConstruction,NameOfContractor,DrillerName,OtherEquipmentPurpose,Comments_Equipment,Comments,Comments_Miscellaneous
x15seis1.28,Bemidji,ss,seismic survey blast point,,,342811.68,5271025.47,,,431.879,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.29,Bemidji,ss,seismic survey blast point,,,342814.64,5271022.67,,,431.805,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.30,Bemidji,ss,seismic survey blast point,,,342820.28,5271017.15,,,431.815,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.31,Bemidji,ss,seismic survey blast point,,,342823.22,5271014.35,,,431.81,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.32,Bemidji,ss,seismic survey blast point,,,342826.05,5271011.55,,,431.785,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.33,Bemidji,ss,seismic survey blast point,,,342828.87,5271008.7,,,431.785,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.34,Bemidji,ss,seismic survey blast point,,,342831.86,5271006.09,,,431.741,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.35,Bemidji,ss,seismic survey blast point,,,342834.72,5271003.32,,,431.705,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.36,Bemidji,ss,seismic survey blast point,,,342837.58,5271000.55,,,431.68,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.37,Bemidji,ss,seismic survey blast point,,,342840.36,5270997.87,,,431.656,0.0,,,USGS MN Water Science Center,Not applicable,,,,
x15seis1.38,Bemidji,ss,seismic survey blast point,,,342843.4,5270995.06,,,431.604,0.0,,,USGS MN Water Science Center,Not applicable,,,,
