LocalSiteName,StudySite,LocalUseCode,Comments_UseCode,USGS_siteno,USGS_StationName,LocalSiteCoreSubName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,LandSurfaceElevation_mASL_NAVD88,Core_MP_height_m,DateOfConstruction,Comments_DateOfConstruction,TotalBoring/DrillingDepth_mBLS,NameOfContractor,DrillerName,CoringBegan_mBLS,CoringEnded_mBLS,CoreRecoveryLength_m,TopOfCoreElevation_mASL_NAVD88,CoreLengthPounded_m,CoreBarrelType,SubsurfaceCoreZone,FreeProductOilPresentInCore,DrillersFieldComments,Comments_Miscellaneous
xL1802-3.3,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1802-3.3-2,342699.31,5270943.24,,,429.436,0.0,20180621,,3.353,USGS MN Water Science Center,J. Trost; B. Bekins; G. Delin,0.61,1.219,0.427,428.826,0.61,Geoprobe DT325 tooling: 4-ft PVC liner with 1.965-inch inner dia.,Unsaturated zone,No,Installed suction lysimeter in this hole at 3.3 meters below land surface. Silcia flour mixutre around intake. Teflon sample tubing.,Lysimeter installed and cores taken near well 956 in spray zone
xL1802-3.3,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1802-3.3-3,342699.31,5270943.24,,,429.436,0.0,20180621,,3.353,USGS MN Water Science Center,J. Trost; B. Bekins; G. Delin,1.219,1.829,0.488,428.217,0.61,Geoprobe DT325 tooling: 4-ft PVC liner with 1.965-inch inner dia.,Unsaturated zone,No,Installed suction lysimeter in this hole at 3.3 meters below land surface. Silcia flour mixutre around intake. Teflon sample tubing.,Lysimeter installed and cores taken near well 956 in spray zone
xL1802-3.3,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1802-3.3-4,342699.31,5270943.24,,,429.436,0.0,20180621,,3.353,USGS MN Water Science Center,J. Trost; B. Bekins; G. Delin,1.829,2.438,0.518,427.607,0.61,Geoprobe DT325 tooling: 4-ft PVC liner with 1.965-inch inner dia.,Unsaturated zone,No,Installed suction lysimeter in this hole at 3.3 meters below land surface. Silcia flour mixutre around intake. Teflon sample tubing.,Lysimeter installed and cores taken near well 956 in spray zone
xL1802-3.3,Bemidji,tg,test hole with samples collected by a Geoprobe,,,1802-3.3-5,342699.31,5270943.24,,,429.436,0.0,20180621,,3.353,USGS MN Water Science Center,J. Trost; B. Bekins; G. Delin,2.438,3.353,0.686,426.998,0.61,Geoprobe DT325 tooling: 4-ft PVC liner with 1.965-inch inner dia.,Unsaturated zone,No,Installed suction lysimeter in this hole at 3.3 meters below land surface. Silcia flour mixutre around intake. Teflon sample tubing.,Lysimeter installed and cores taken near well 956 in spray zone
x1605,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1605-2,342890.38,5271084.0,1.0,113.35,433.245,0.0,20160804,,11.278,USGS MN Water Science Center,B. Mason; J.W. Lund,0.61,1.219,0.457,432.635,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-30 ft. below land surface = cored with MN Geoprobe. 30-37 ft. below land surface = cored with MN hollow stem auger rig,
x1605,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1605-3,342890.38,5271084.0,1.0,113.35,433.245,0.0,20160804,,11.278,USGS MN Water Science Center,B. Mason; J.W. Lund,1.219,1.829,0.411,432.026,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-30 ft. below land surface = cored with MN Geoprobe. 30-37 ft. below land surface = cored with MN hollow stem auger rig,
x1605,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1605-4,342890.38,5271084.0,1.0,113.35,433.245,0.0,20160804,,11.278,USGS MN Water Science Center,B. Mason; J.W. Lund,1.829,2.438,0.381,431.416,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-30 ft. below land surface = cored with MN Geoprobe. 30-37 ft. below land surface = cored with MN hollow stem auger rig,
x1605,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1605-5,342890.38,5271084.0,1.0,113.35,433.245,0.0,20160804,,11.278,USGS MN Water Science Center,B. Mason; J.W. Lund,2.438,3.048,0.521,430.807,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-30 ft. below land surface = cored with MN Geoprobe. 30-37 ft. below land surface = cored with MN hollow stem auger rig,
x1605,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1605-7,342890.38,5271084.0,1.0,113.35,433.245,0.0,20160804,,11.278,USGS MN Water Science Center,B. Mason; J.W. Lund,3.658,4.267,0.372,429.587,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-30 ft. below land surface = cored with MN Geoprobe. 30-37 ft. below land surface = cored with MN hollow stem auger rig,
x1605,Bemidji,t,test hole with samples collected by unknown or multiple coring devices,,,1605-8,342890.38,5271084.0,1.0,113.35,433.245,0.0,20160804,,11.278,USGS MN Water Science Center,B. Mason; J.W. Lund,4.267,4.877,0.402,428.978,0.61,Geoprobe DT22 tooling: 4-ft PVC liner with 1.275-inch inner dia.,Unsaturated zone,No,0-30 ft. below land surface = cored with MN Geoprobe. 30-37 ft. below land surface = cored with MN hollow stem auger rig,
