LocalSiteName,StudySite,AgencyCode,USGS_siteno,USGS_StationName,XcoordUTMNAD83_m,YcoordUTMNAD83_m,LandSurfaceElevation_mASL_NAVD88,OnNorthWellTransect,DistanceFromCenterOfNorthOilBody_m,WellSite,CoreSite,OtherEquipmentSite,TopOfScreenElevation_mASL_NAVD88,BottomOfScreenElevation_mASL_NAVD88,MidOfScreenElevation_mASL_NAVD88,DateOfConstruction,Comments_DateOfConstruction,SiteActiveStatus,Comments_Status,ApproxRemovalDate
x0710,Bemidji,USGS,,,342881.37,5271083.33,433.119,1.0,104.85,0,1,0,,,,20070717,,Active,,
x0711,Bemidji,USGS,,,342881.99,5271083.16,433.111,1.0,105.34,0,1,0,,,,20070717,,Active,,
x0712,Bemidji,USGS,,,342840.02,5271057.49,433.018,1.0,56.57,0,1,0,,,,20070718,,Active,,
x0713,Bemidji,USGS,,,342779.52,5271113.99,432.065,,,0,1,0,,,,20070718,,Active,,
x0714,Bemidji,USGS,,,342899.72,5271090.18,433.345,1.0,124.4,0,1,0,,,,20070719,,Active,,
x0715,Bemidji,USGS,,,342895.16,5271087.83,433.295,1.0,119.28,0,1,0,,,,20070723,,Active,,
x0801-2,Bemidji,USGS,,,342806.2,5271046.92,432.549,1.0,21.37,0,1,0,,,,20080723,,Active,,
x0803,Bemidji,USGS,,,342899.4,5271090.88,433.381,1.0,124.39,0,1,0,,,,20080723,,Active,,
x0804,Bemidji,USGS,,,342773.3,5271035.37,430.21204,1.0,-13.39,0,1,0,,,,20080719,,Active,,
x0805-12,Bemidji,USGS,,,342765.57,5271031.19,430.306,1.0,-22.15,0,1,0,,,,20080723,,Active,,
x0813-22,Bemidji,USGS,,,342805.06,5271043.83,432.409,1.0,19.08,0,1,0,,,,20080723,,Active,,
x0823,Bemidji,USGS,,,342833.99,5271056.03,432.949,1.0,50.47,0,1,0,,,,20080723,,Active,,
x0824,Bemidji,USGS,,,342834.14,5271055.45,432.941,1.0,50.37,0,1,0,,,,20080723,,Active,,
x0908,Bemidji,USGS,,,342881.12,5271082.43,433.115,1.0,104.25,0,1,0,,,,20090811,,Active,,
x0909,Bemidji,USGS,,,342880.14,5271081.93,433.089,1.0,103.15,0,1,0,,,,20090811,,Active,,
x0910,Bemidji,USGS,,,342806.51,5271047.43,432.569,1.0,21.86,0,1,0,,,,20090812,,Active,,
x0911,Bemidji,USGS,,,342785.02,5271036.62,430.363,1.0,-2.17,0,1,0,,,,20090813,,Active,,
x0912,Bemidji,USGS,,,342879.81,5271084.08,433.173,1.0,103.72,0,1,0,,,,20090814,,Active,,
x0913,Bemidji,USGS,,,342884.12,5271084.88,433.143,1.0,107.99,0,1,0,,,,20090814,,Active,,
x0914,Bemidji,USGS,,,342806.05,5271048.78,432.369800480001,1.0,21.99,0,1,0,,,,20090819,,Active,,
x0914-20,Bemidji,USGS,,,342804.04,5271046.06,432.5,1.0,19.05,0,1,0,,,,20090817,,Active,,
x0921,Bemidji,USGS,,,342784.49,5271037.24,430.346,1.0,-2.4,0,1,0,,,,20090817,,Active,,
x0922-28,Bemidji,USGS,,,342764.75,5271032.13,430.244,1.0,-22.52,0,1,0,,,,20090818,,Active,,
x0929,Bemidji,USGS,,,342880.61,5271081.16,433.082,1.0,103.27,0,1,0,,,,20090818,,Active,,
x0930,Bemidji,USGS,,,342895.41,5271086.89,433.266,1.0,119.12,0,1,0,,,,,Installation date unknown,Active,,
x1001A,Bemidji,USGS,x473426095052102,1001A     147N35W02CDAD 01              0000772868,342880.22,5271089.78,433.121,1.0,106.41,1,0,0,421.484,421.24,421.362,20100526.0,,Active,,
x1001B,Bemidji,USGS,x473426095052103,1001B     147N35W02CDAD 01              0000772867,342880.54,5271088.42,433.121,1.0,106.15,1,1,0,420.697,420.454,420.576,20100526.0,"Core 1001 taken 5/25/10, well completed 5/26/10",Active,,
x1002,Bemidji,USGS,,,342882.44,5271085.42,433.205,1.0,106.67,1,0,0,,,,20100526,,Removed,"failed well, no well installed",
x1002-5,Bemidji,USGS,,,342871.44,5271076.29,433.336,1.0,92.91,0,1,0,,,,20100720,,Active,,
x1006-7,Bemidji,USGS,,,342833.54,5271165.37,431.62,,,0,1,1,,,,20100720,,Active,,
x1008,Bemidji,USGS,,,342830.58,5271051.1,432.771,1.0,45.35,0,1,0,,,,20100721,,Active,,
x1009,Bemidji,USGS,x473425095052604,1009      147N35W02CDDB  01,342783.9,5271036.12,430.378,1.0,-3.39,1,1,0,424.892,421.844,423.368,20100721.0,,Active,,
x1010-16,Bemidji,USGS,,,342805.57,5271047.18,432.72,1.0,20.9,0,1,1,,,,20100721,,Active,,
x1017-25,Bemidji,USGS,,,342760.8,5271033.54,430.086,1.0,-25.56,0,1,0,,,,20100722,,Active,,
x1026-38,Bemidji,USGS,,,342807.51,5271046.63,432.55,1.0,22.45,0,1,0,,,,20100724,,Active,,
x1051,Bemidji,USGS,,,342797.86,5271063.06,432.259,,,0,1,0,,,,20100728,,Active,,
x1052-55,Bemidji,USGS,,,342780.27,5271042.73,430.388,1.0,-4.03,0,1,0,,,,20100728,,Active,,
x1056,Bemidji,USGS,,,342773.33,5271048.15,430.652,,,0,1,0,,,,20100729,,Active,,
x1057-66,Bemidji,USGS,,,342777.87,5271044.4,430.536,1.0,-5.55,0,1,0,,,,20100729,,Active,,
x1101,Bemidji,USGS,,,342759.99,5271038.28,430.099,,,0,1,0,,,,20110510,Started drilling on 5/10/11 and finished on 5/11/11,Active,,
x1101A,Bemidji,USGS,x473427095052105,1101A     147N35W02CDAD 01              0000772870,342892.19,5271082.99,433.426,1.0,114.6,1,0,0,422.856,422.615,422.736,20110510.0,,Active,,
x1101B,Bemidji,USGS,x473427095052006,1101B     147N35W02CDAD 01              0000772871,342892.89,5271083.35,433.426,1.0,115.39,1,0,0,420.682,420.442,420.562,20110509.0,,Active,,
x1101C,Bemidji,USGS,x473427095052007,1101C     147N35W02CDAD 01              0000772872,342893.64,5271083.89,433.426,1.0,116.29,1,0,0,418.899,418.658,418.778,20110509.0,,Active,,
x1101D,Bemidji,USGS,x473427095052008,1101D     147N35W02CDAD 01              0000772873,342894.5,5271084.08,433.426,1.0,117.15,1,0,0,416.766,416.525,416.646,20110509.0,,Active,,
x1102,Bemidji,USGS,,,342837.63,5271045.78,432.731,,,0,1,0,,,,20110620,,Active,,
x1103,Bemidji,USGS,,,342829.22,5271042.46,432.623,,,0,1,0,,,,20110620,,Active,,
x1104,Bemidji,USGS,,,342811.14,5271045.19,432.728,1.0,25.18,0,1,0,,,,20110620,,Active,,
x1105,Bemidji,USGS,,,342753.49,5271030.76,430.314,1.0,-33.37,0,1,0,,,,20110620,,Active,,
x1106,Bemidji,USGS,,,342753.79,5271030.89,430.303,1.0,-33.04,0,1,0,,,,20110620,,Active,,
x1107,Bemidji,USGS,,,342773.3,5271036.7,430.279,1.0,-12.85,0,1,0,,,,20110620,,Active,,
x1108,Bemidji,USGS,,,342752.36,5271030.92,430.334,1.0,-34.34,0,1,0,,,,20110620,,Active,,
x1109,Bemidji,USGS,,,342830.06,5271050.77,432.723,1.0,44.74,0,1,0,,,,20110621,,Active,,
x1110,Bemidji,USGS,,,342806.8,5271046.79,432.871,1.0,21.87,0,1,1,,,,20110621,"Started coring on 6/21/11 by MPCA, finished coring on 06/22/11 by USGS",Active,,
x1111,Bemidji,USGS,,,342891.3,5271082.39,433.709,1.0,113.54,0,1,1,,,,20110621,"Started coring on 6/21/11 by MPCA, MPCA finished coring on 6/22/11 at 14:30 CDT.  USGS finished installation 6/23/11 15:00 CDT",Active,,
x1112,Bemidji,USGS,,,342796.27,5271048.41,431.986,1.0,12.89,0,1,0,,,,20110621,,Active,,
x1113,Bemidji,USGS,,,342768.64,5271040.66,430.21,1.0,-15.51,0,1,0,,,,20110623,,Active,,
x1114,Bemidji,USGS,,,342741.28,5271053.77,430.448,,,0,1,0,,,,20110622,"Geoprobe cores collected on 6/22/11. Started hollow stem auger rig coring on 6/23/11, finished coring on 6/24/11",Active,,
x1115,Bemidji,USGS,,,342795.31,5271049.06,431.937,1.0,12.28,0,1,0,,,,20110623,,Active,,
x1116,Bemidji,USGS,,,342894.22,5271086.65,433.276,1.0,117.94,0,1,0,,,,20110624,,Active,,
x1117,Bemidji,USGS,,,342768.75,5271041.5,430.155,,,0,1,0,,,,20110625,,Active,,
x1118,Bemidji,USGS,,,342808.09,5271044.76,432.585,1.0,22.22,0,1,0,,,,20110625,,Active,,
x1119,Bemidji,USGS,,,342780.3,5271042.32,430.296,1.0,-4.17,0,1,0,,,,20110627,,Active,,
x1120,Bemidji,USGS,,,342788.7,5271037.73,430.578,1.0,-1.65,0,1,0,,,,20110627,,Active,,
x1121,Bemidji,USGS,,,342784.2,5271041.15,430.125,1.0,-1.08,0,1,0,,,,20110628,,Active,,
x1122,Bemidji,USGS,,,342806.19,5271042.88,432.427,1.0,19.72,0,1,0,,,,20110628,,Active,,
x1123,Bemidji,USGS,,,342618.55,5270944.99,433.17,1.0,-191.49,0,0,1,,,,20110628,,Active,,
x1124,Bemidji,USGS,,,342781.35,5271043.36,430.46,1.0,-2.79,0,0,1,,,,20110628,,Active,,
x1125,Bemidji,USGS,,,342833.45,5271052.56,432.82,1.0,48.57,0,0,1,,,,20110628,,Active,,
x11-B10,Bemidji,USGS,,,342677.91,5270941.81,429.452,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B11,Bemidji,USGS,,,342665.78,5270945.95,430.814,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B12,Bemidji,USGS,,,342673.39,5270949.96,430.056,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B13,Bemidji,USGS,,,342660.66,5270954.32,432.028,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B14,Bemidji,USGS,,,342669.12,5270957.64,431.342,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B15,Bemidji,USGS,,,342656.46,5270961.36,432.313,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B16,Bemidji,USGS,,,342664.53,5270965.71,431.905,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B17,Bemidji,USGS,,,342651.54,5270970.13,432.359,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B18,Bemidji,USGS,,,342659.82,5270973.85,431.908,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B19,Bemidji,USGS,,,342647.45,5270977.45,432.183,1.0,-151.91,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B22,Bemidji,USGS,,,342737.25,5270877.78,429.821,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B24,Bemidji,USGS,,,342734.4,5270888.92,430.669,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B26,Bemidji,USGS,,,342729.35,5270897.17,430.608,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B27,Bemidji,USGS,,,342713.74,5270898.94,430.459,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B28,Bemidji,USGS,,,342724.79,5270904.31,430.195,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B29,Bemidji,USGS,,,342709.09,5270906.96,429.178,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B30,Bemidji,USGS,,,342719.58,5270912.58,429.464,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B31,Bemidji,USGS,,,342704.63,5270914.55,428.53,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B32,Bemidji,USGS,,,342714.83,5270919.98,429.03,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B33,Bemidji,USGS,,,342699.92,5270922.8,428.371,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B34,Bemidji,USGS,,,342709.66,5270927.56,428.57,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B35,Bemidji,USGS,,,342695.27,5270930.48,428.481,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B36,Bemidji,USGS,,,342704.63,5270935.17,428.589,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B37,Bemidji,USGS,,,342690.58,5270938.49,428.668,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B38,Bemidji,USGS,,,342699.72,5270942.88,428.767,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B39,Bemidji,USGS,,,342686.25,5270946.1,429.332,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B4,Bemidji,USGS,,,342691.02,5270918.19,428.011,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B40,Bemidji,USGS,,,342694.99,5270950.54,429.099,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B41,Bemidji,USGS,,,342681.56,5270954.25,429.865,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B42,Bemidji,USGS,,,342690.06,5270958.43,429.818,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B43,Bemidji,USGS,,,342677.22,5270961.96,430.894,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B44,Bemidji,USGS,,,342685.39,5270965.99,430.55,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B45,Bemidji,USGS,,,342672.72,5270969.87,431.758,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B46,Bemidji,USGS,,,342680.7,5270973.93,431.503,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B47,Bemidji,USGS,,,342668.26,5270977.74,431.665,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B49,Bemidji,USGS,,,342663.81,5270985.76,431.189,1.0,-133.59,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B50,Bemidji,USGS,,,342671.01,5270990.66,431.01,1.0,-125.02,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B52,Bemidji,USGS,,,342720.9,5270922.67,429.329,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B54,Bemidji,USGS,,,342715.95,5270930.91,428.894,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B56,Bemidji,USGS,,,342711.59,5270938.33,428.718,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B58,Bemidji,USGS,,,342706.8,5270946.49,428.972,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B59,Bemidji,USGS,,,342618.51,5270954.98,433.295,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B60,Bemidji,USGS,,,342702.41,5270954.06,429.327,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B62,Bemidji,USGS,,,342697.76,5270962.33,430.025,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B64,Bemidji,USGS,,,342693.5,5270969.99,430.604,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B65,Bemidji,USGS,,,342650.76,5270937.69,432.191,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B66,Bemidji,USGS,,,342689.01,5270978.01,431.573,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B67,Bemidji,USGS,,,342645.72,5270945.57,432.89,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B68,Bemidji,USGS,,,342684.52,5270986.66,431.562,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B69,Bemidji,USGS,,,342640.69,5270953.37,433.089,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B70,Bemidji,USGS,,,342678.61,5270996.45,431.054,1.0,-115.73,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B71,Bemidji,USGS,,,342634.89,5270962.63,433.393,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B73,Bemidji,USGS,,,342630.67,5270969.2,433.366,1.0,-170.6,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B74,Bemidji,USGS,,,342730.16,5270926.57,429.557,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B75,Bemidji,USGS,,,342725.37,5270934.51,429.085,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B76,Bemidji,USGS,,,342720.87,5270942.36,428.896,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B77,Bemidji,USGS,,,342715.95,5270950.74,429.64,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B79,Bemidji,USGS,,,342706.37,5270966.78,430.144,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B80,Bemidji,USGS,,,342702.13,5270974.05,430.72,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B81,Bemidji,USGS,,,342697.16,5270982.53,431.462,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B82,Bemidji,USGS,,,342725.56,5270915.18,429.741,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B83,Bemidji,USGS,,,342734.78,5270918.99,430.068,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-B9,Bemidji,USGS,,,342670.34,5270938.76,429.982,,,0,1,0,,,,20110622,Assumed same date for all sites in this project,Active,,
x11-UBC 2*,Bemidji,USGS,,,342740.58,5271054.4,430.39,,,0,0,1,,,,20110613,Assumed date based on N. Sihota's visit,Active,,
x11-UBC 2A,Bemidji,USGS,,,342744.58,5271050.72,430.34,,,0,0,1,,,,20110613,Assumed date based on N. Sihota's visit,Active,,
x11-UBC 2B,Bemidji,USGS,,,342744.76,5271049.58,430.27,,,0,0,1,,,,20110613,Assumed date based on N. Sihota's visit,Active,,
x11-UBC 2C,Bemidji,USGS,,,342745.63,5271050.68,430.33,,,0,0,1,,,,20110613,Assumed date based on N. Sihota's visit,Active,,
x11-UBC 3A,Bemidji,USGS,,,342753.93,5271042.36,430.13,,,0,0,1,,,,20110613,Assumed date based on N. Sihota's visit,Active,,
x11-UBC 3B,Bemidji,USGS,,,342752.91,5271042.53,430.15,,,0,0,1,,,,20110613,Assumed date based on N. Sihota's visit,Active,,
x11-UBC 3C,Bemidji,USGS,,,342753.96,5271043.38,430.2,,,0,0,1,,,,20110613,Assumed date based on N. Sihota's visit,Active,,
x11-UBC 4*,Bemidji,USGS,,,342757.76,5271038.62,430.06,,,0,0,1,,,,20110613,Assumed date based on N. Sihota's visit,Active,,
x11-UBC 4B,Bemidji,USGS,,,342760.95,5271034.56,430.05,1.0,-25.01,0,0,1,,,,20110613,Assumed date based on N. Sihota's visit,Active,,
x9014G-03,Bemidji,USGS,x473426095052520,9014G-03  Bemidji Toxics Research Site,342795.65,5271046.99,431.892,1.0,11.75,1,0,0,424.577,424.546,424.562,20000718.0,,Active,,
x9014G-04,Bemidji,USGS,x473426095052521,9014G-04  Bemidji Toxics Research Site,342795.65,5271046.99,431.892,1.0,11.75,1,0,0,424.976,424.946,424.961,20000718.0,,Active,,
x9014G-05,Bemidji,USGS,x473426095052522,9014G-05  Bemidji Toxics Research Site,342795.65,5271046.99,431.892,1.0,11.75,1,0,0,425.976,425.945,425.96,20000718.0,,Active,,
x9014G-06,Bemidji,USGS,x473426095052523,9014G-06  Bemidji Toxics Research Site,342795.65,5271046.99,431.892,1.0,11.75,1,0,0,426.979,426.948,426.964,20000718.0,,Active,,
x9014G-07,Bemidji,USGS,x473426095052524,9014G-07  Bemidji Toxics Research Site,342795.65,5271046.99,431.892,1.0,11.75,1,0,0,427.978,427.948,427.963,20000718.0,,Active,,
x9014G-08,Bemidji,USGS,x473426095052525,9014G-08  Bemidji Toxics Research Site,342795.65,5271046.99,431.892,1.0,11.75,1,0,0,428.978,428.948,428.963,20000718.0,,Active,,
x9015G-02,Bemidji,USGS,x473425095052522,9015G-02  Bemidji Toxics Research Site,342787.9,5271040.35,430.789,1.0,-1.98,1,0,0,425.306,425.275,425.29,20040721.0,,Active,,
x9015G-03,Bemidji,USGS,x473425095052524,9015G-03  Bemidji Toxics Research Site,342787.9,5271040.35,430.789,1.0,-1.98,1,0,0,426.305,426.275,426.29,20040721.0,,Active,,
x9015G-04,Bemidji,USGS,x473425095052525,9015G-04  Bemidji Toxics Research Site,342787.9,5271040.35,430.789,1.0,-1.98,1,0,0,427.305,427.275,427.29,20040721.0,,Active,,
x9015G-05,Bemidji,USGS,x473425095052526,9015G-05  Bemidji Toxics Research Site,342787.9,5271040.35,430.789,1.0,-1.98,1,0,0,428.305,428.274,428.29,20040721.0,,Active,,
x9015G-06,Bemidji,USGS,x473425095052527,9015G-06  Bemidji Toxics Research Site,342787.9,5271040.35,430.789,1.0,-1.98,1,0,0,428.805,428.774,428.79,20040721.0,,Active,,
x9015G-07,Bemidji,USGS,x473425095052528,9015G-07  Bemidji Toxics Research Site,342787.9,5271040.35,430.789,1.0,-1.98,1,0,0,429.305,429.274,429.29,20040721.0,,Active,,
x9015G-08,Bemidji,USGS,x473425095052529,9015G-08  Bemidji Toxics Research Site,342787.9,5271040.35,430.789,1.0,-1.98,1,0,0,429.804,429.774,429.789,20040721.0,,Active,,
x9016G-02,Bemidji,USGS,x473425095052616,9016G-02  Bemidji Toxics Research Site,342773.94,5271036.96,430.228,1.0,-12.16,1,0,0,425.245,425.214,425.23,20040720.0,,Active,,
x9016G-03,Bemidji,USGS,x473425095052617,9016G-03  Bemidji Toxics Research Site,342773.94,5271036.96,430.228,1.0,-12.16,1,0,0,426.244,426.214,426.229,20040720.0,,Active,,
x9016G-04,Bemidji,USGS,x473425095052618,9016G-04  Bemidji Toxics Research Site,342773.94,5271036.96,430.228,1.0,-12.16,1,0,0,427.244,427.214,427.229,20040720.0,,Active,,
x9016G-05,Bemidji,USGS,x473425095052619,9016G-05  Bemidji Toxics Research Site,342773.94,5271036.96,430.228,1.0,-12.16,1,0,0,428.244,428.213,428.228,20040720.0,,Active,,
x9016G-06,Bemidji,USGS,x473425095052620,9016G-06  Bemidji Toxics Research Site,342773.94,5271036.96,430.228,1.0,-12.16,1,0,0,428.744,428.713,428.728,20040720.0,,Active,,
x9016G-07,Bemidji,USGS,x473425095052621,9016G-07  Bemidji Toxics Research Site,342773.94,5271036.96,430.228,1.0,-12.16,1,0,0,429.243,429.213,429.228,20040720.0,,Active,,
x9016G-08,Bemidji,USGS,x473425095052622,9016G-08  Bemidji Toxics Research Site,342773.94,5271036.96,430.228,1.0,-12.16,1,0,0,429.743,429.713,429.728,20040720.0,,Active,,
x9017G-02,Bemidji,USGS,x473425095052716,9017G-02  Bemidji Toxics Research Site,342763.57,5271032.76,430.137,1.0,-23.34,1,0,0,425.251,425.221,425.236,20040720.0,,Active,,
x9017G-03,Bemidji,USGS,x473425095052717,9017G-03  Bemidji Toxics Research Site,342763.57,5271032.76,430.137,1.0,-23.34,1,0,0,426.251,426.22,426.236,20040720.0,,Active,,
x9017G-04,Bemidji,USGS,x473425095052718,9017G-04  Bemidji Toxics Research Site,342763.57,5271032.76,430.137,1.0,-23.34,1,0,0,427.254,427.223,427.238,20040720.0,,Active,,
x9017G-05,Bemidji,USGS,x473425095052719,9017G-05  Bemidji Toxics Research Site,342763.57,5271032.76,430.137,1.0,-23.34,1,0,0,427.753,427.723,427.738,20040720.0,,Active,,
x9017G-06,Bemidji,USGS,x473425095052720,9017G-06  Bemidji Toxics Research Site,342763.57,5271032.76,430.137,1.0,-23.34,1,0,0,428.253,428.223,428.238,20040720.0,,Active,,
x9017G-07,Bemidji,USGS,x473425095052721,9017G-07  Bemidji Toxics Research Site,342763.57,5271032.76,430.137,1.0,-23.34,1,0,0,429.253,429.223,429.238,20040720.0,,Active,,
x9017G-08,Bemidji,USGS,x473425095052722,9017G-08  Bemidji Toxics Research Site,342763.57,5271032.76,430.137,1.0,-23.34,1,0,0,429.753,429.722,429.738,20040720.0,,Active,,
x9101G-02,Bemidji,USGS,x473426095052431,9101G-02  Bemidji Toxics Research Site,342825.92,5271053.26,432.776,1.0,41.97,1,0,0,427.293,427.262,427.278,19900530.0,,Active,,
x9101G-03,Bemidji,USGS,x473426095052432,9101G-03  Bemidji Toxics Research Site,342825.92,5271053.26,432.776,1.0,41.97,1,0,0,428.292,428.262,428.277,19900530.0,,Active,,
x9101G-04,Bemidji,USGS,x473426095052433,9101G-04  Bemidji Toxics Research Site,342825.92,5271053.26,432.776,1.0,41.97,1,0,0,429.292,429.262,429.277,19900530.0,,Active,,
x9101G-05,Bemidji,USGS,x473426095052434,9101G-05  Bemidji Toxics Research Site,342825.92,5271053.26,432.776,1.0,41.97,1,0,0,430.292,430.261,430.276,19900530.0,,Active,,
x9101G-06,Bemidji,USGS,x473426095052435,9101G-06  Bemidji Toxics Research Site,342825.92,5271053.26,432.776,1.0,41.97,1,0,0,431.292,431.261,431.276,19900530.0,,Active,,
x9101G-07,Bemidji,USGS,x473426095052436,9101G-07  Bemidji Toxics Research Site,342825.92,5271053.26,432.776,1.0,41.97,1,0,0,431.791,431.761,431.776,19900530.0,,Active,,
x9101G-08,Bemidji,USGS,x473426095052437,9101G-08  Bemidji Toxics Research Site,342825.92,5271053.26,432.776,1.0,41.97,1,0,0,432.291,432.261,432.276,19900530.0,,Active,,
x9101G-09,Bemidji,USGS,x473426095052438,9101G-09  Bemidji Toxics Research Site,342825.92,5271053.26,432.776,1.0,41.97,1,0,0,432.59,432.56,432.575,19900530.0,,Active,,
x9103G-02,Bemidji,USGS,x473426095052439,9103G-02  Bemidji Toxics Research Site,342815.22,5271048.46,432.816,1.0,30.24,1,0,0,427.333,427.302,427.318,19911018.0,estimated date,Active,,
x9103G-03,Bemidji,USGS,x473426095052440,9103G-03  Bemidji Toxics Research Site,342815.22,5271048.46,432.816,1.0,30.24,1,0,0,428.332,428.302,428.317,19911018.0,estimated date,Active,,
x9103G-04,Bemidji,USGS,x473426095052441,9103G-04  Bemidji Toxics Research Site,342815.22,5271048.46,432.816,1.0,30.24,1,0,0,429.332,429.302,429.317,19911018.0,estimated date,Active,,
x9103G-05,Bemidji,USGS,x473426095052442,9103G-05  Bemidji Toxics Research Site,342815.22,5271048.46,432.816,1.0,30.24,1,0,0,430.332,430.301,430.316,19911018.0,estimated date,Active,,
x9103G-06,Bemidji,USGS,x473426095052443,9103G-06  Bemidji Toxics Research Site,342815.22,5271048.46,432.816,1.0,30.24,1,0,0,431.332,431.301,431.316,19911018.0,estimated date,Active,,
x9103G-07,Bemidji,USGS,x473426095052444,9103G-07  Bemidji Toxics Research Site,342815.22,5271048.46,432.816,1.0,30.24,1,0,0,431.831,431.801,431.816,19911018.0,estimated date,Active,,
x9103G-08,Bemidji,USGS,x473426095052445,9103G-08  Bemidji Toxics Research Site,342815.22,5271048.46,432.816,1.0,30.24,1,0,0,432.331,432.301,432.316,19911018.0,estimated date,Active,,
x534G-02,Bemidji,USGS,x473426095052453,534G-02   Bemidji Toxics Research Site,342810.46,5271045.59,432.648,1.0,24.73,1,0,0,427.165,427.134,427.15,,Installation date unknown,Active,,
x534G-03,Bemidji,USGS,x473426095052454,534G-03   Bemidji Toxics Research Site,342810.46,5271045.59,432.648,1.0,24.73,1,0,0,428.164,428.134,428.149,,Installation date unknown,Active,,
